"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"268",0.85,0.8,3,3.2980438411298,1
"269",0.9,0.8,3,1.20148127027602,1
"270",0.95,0.8,3,0,0
"271",0.5,0.85,3,3.50458071942881,1
"272",0.55,0.85,3,3.50458071942881,1
"273",0.6,0.85,3,3.50458071942881,1
"274",0.65,0.85,3,3.50458071942881,1
"275",0.7,0.85,3,3.50458071942881,1
"276",0.75,0.85,3,3.50458071942881,1
"277",0.8,0.85,3,3.2980438411298,1
"278",0.85,0.85,3,3.2980438411298,1
"279",0.9,0.85,3,1.20148127027602,1
"280",0.95,0.85,3,0,0
"281",0.5,0.9,3,3.50458071942881,1
"282",0.55,0.9,3,3.50458071942881,1
"283",0.6,0.9,3,3.50458071942881,1
"284",0.65,0.9,3,3.50458071942881,1
"285",0.7,0.9,3,3.50458071942881,1
"286",0.75,0.9,3,3.50458071942881,1
"287",0.8,0.9,3,3.2980438411298,1
"288",0.85,0.9,3,3.2980438411298,1
"289",0.9,0.9,3,1.20148127027602,1
"290",0.95,0.9,3,0,0
"291",0.5,0.95,3,3.50458071942881,1
"292",0.55,0.95,3,3.50458071942881,1
"293",0.6,0.95,3,3.50458071942881,1
"294",0.65,0.95,3,3.50458071942881,1
"295",0.7,0.95,3,3.50458071942881,1
"296",0.75,0.95,3,3.50458071942881,1
"297",0.8,0.95,3,3.2980438411298,1
"298",0.85,0.95,3,3.2980438411298,1
"299",0.9,0.95,3,1.20148127027602,1
"300",0.95,0.95,3,0,0
