,mean,MCSE,q10,q50,q90,ESS,Rhat
"loglike[1,198]",2.747966642,0.072793597,2.616925089,2.744731604,2.897858532,11799.17785,1.000080497
"loglike[1,199]",2.731399732,0.071656648,2.601869475,2.727850094,2.8790709,11728.79414,1.000054083
"loglike[1,200]",2.720225505,0.070635198,2.592858663,2.716494529,2.86614989,11723.30723,1.000044856
"loglike[1,201]",2.380980908,0.039974237,2.303638295,2.380655243,2.461198611,20561.2965,1.000260924
"loglike[1,202]",2.551787713,0.048175347,2.461132559,2.550453337,2.649311191,14909.5197,1.00029233
"loglike[1,203]",2.723342575,0.070926571,2.595433368,2.719587182,2.869779841,11723.52361,1.000047191
"loglike[1,204]",2.721621295,0.067882565,2.598463749,2.718903865,2.859589098,12208.45508,1.000145367
"loglike[1,205]",-17.2152139,2.869996026,-23.69044947,-16.87618234,-12.62085919,11991.31429,1.000087127
"loglike[1,206]",-3.30631123,0.820228973,-5.146654171,-3.209209329,-1.995378971,12267.97712,1.000120916
"loglike[1,207]",2.73845512,0.070440864,2.611215342,2.735282726,2.882892928,12029.45097,1.00012241
"loglike[1,208]",1.620683782,0.124012302,1.327932597,1.639068017,1.812273374,12561.2609,0.999900551
"loglike[1,209]",2.718721339,0.067465735,2.596299456,2.71611436,2.855767371,12237.98284,1.000148741
"loglike[1,210]",2.743403316,0.071282457,2.614747931,2.740255861,2.890008342,11967.56779,1.000113123
"loglike[1,211]",2.704876474,0.06553409,2.585741721,2.702606544,2.837845818,12379.85933,1.00016374
"loglike[1,212]",2.658888672,0.064619558,2.54133388,2.655255582,2.792066307,11834.95496,1.00001479
"loglike[1,213]",2.741099196,0.070880647,2.613070946,2.73788793,2.886787705,11997.64179,1.000117749
"loglike[1,214]",2.196690589,0.046114341,2.102192229,2.197604102,2.284164269,21053.90441,1.000274496
"loglike[1,215]",2.276954268,0.043396456,2.192605305,2.276389332,2.363948031,19414.83412,1.000193919
"loglike[1,216]",2.744821999,0.072690852,2.613957859,2.741475865,2.894770653,11768.32563,1.000071763
"loglike[1,217]",2.409978441,0.045278882,2.325573844,2.408431532,2.503866677,15021.84925,1.000050481
"loglike[1,218]",2.646116327,0.063365393,2.530806894,2.642587333,2.776993229,11880.66027,1.000010655
"loglike[1,219]",2.609696287,0.053916595,2.509386804,2.608370436,2.718181713,13655.27938,1.000249733
"loglike[1,220]",2.712072907,0.069858193,2.585758695,2.708393396,2.85637424,11726.38273,1.000039358
"loglike[1,221]",2.724509728,0.071034608,2.596386114,2.720759476,2.871122758,11723.83615,1.000048106
"loglike[1,222]",2.691258978,0.063708421,2.574779162,2.689148163,2.819580179,12524.73274,1.000177358
"loglike[1,223]",2.28462273,0.043285729,2.200693409,2.283953023,2.371820863,19172.53036,1.000184984
"loglike[1,224]",2.340508169,0.040481323,2.260492593,2.340743977,2.419877613,20975.85351,1.000206059
"loglike[1,225]",2.729914788,0.071525291,2.600647971,2.726318025,2.877353663,11727.21497,1.000052698
"loglike[1,226]",-0.614444743,0.458659619,-1.665157001,-0.550273694,0.108418817,11725.07844,0.999965342
"loglike[1,227]",2.706029458,0.069272502,2.580502879,2.702407471,2.849147427,11731.52497,1.000035723
"loglike[1,228]",2.274071957,0.043337485,2.182484741,2.275984962,2.355281936,19977.24808,1.000105178
"loglike[1,229]",2.731450965,0.071661148,2.601927534,2.727901337,2.879139232,11728.85444,1.000054132
"loglike[1,230]",2.716248701,0.067114065,2.594272726,2.713689487,2.852541974,12263.14193,1.000151541
"loglike[1,231]",2.629315092,0.061734068,2.516707611,2.62600485,2.75691024,11952.74562,1.000006006
"loglike[1,232]",2.747218234,0.072788451,2.61615227,2.743905191,2.897285121,11788.88494,1.000077785
"loglike[1,233]",2.639221049,0.05724601,2.533247477,2.637871998,2.754797363,13179.28222,1.000224813
"loglike[1,234]",2.664452486,0.060284372,2.553794571,2.662756841,2.78615302,12837.74111,1.000202441
"loglike[1,235]",2.593415921,0.058349577,2.48631499,2.59052863,2.713974655,12157.57795,0.999999009
