"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"225",0.7,0.6,3,34.5745646176059,3
"226",0.75,0.6,3,34.5745646176059,3
"227",0.8,0.6,3,27.3758757670832,3
"228",0.85,0.6,3,36.4396555499506,1
"229",0.9,0.6,3,36.4396555499506,1
"230",0.95,0.6,3,16.7556130415367,1
"231",0.5,0.65,3,38.4539835668474,3
"232",0.55,0.65,3,38.4539835668474,3
"233",0.6,0.65,3,38.4539835668474,3
"234",0.65,0.65,3,35.2090348657777,3
"235",0.7,0.65,3,34.5745646176059,3
"236",0.75,0.65,3,34.5745646176059,3
"237",0.8,0.65,3,27.3758757670832,3
"238",0.85,0.65,3,36.4396555499506,1
"239",0.9,0.65,3,36.4396555499506,1
"240",0.95,0.65,3,16.7556130415367,1
"241",0.5,0.7,3,38.4539835668474,3
"242",0.55,0.7,3,38.4539835668474,3
"243",0.6,0.7,3,38.4539835668474,3
"244",0.65,0.7,3,35.2090348657777,3
"245",0.7,0.7,3,34.5745646176059,3
"246",0.75,0.7,3,34.5745646176059,3
"247",0.8,0.7,3,27.3758757670832,3
"248",0.85,0.7,3,36.4396555499506,1
"249",0.9,0.7,3,36.4396555499506,1
"250",0.95,0.7,3,16.7556130415367,1
"251",0.5,0.75,3,38.4539835668474,3
"252",0.55,0.75,3,38.4539835668474,3
"253",0.6,0.75,3,38.4539835668474,3
"254",0.65,0.75,3,35.2090348657777,3
"255",0.7,0.75,3,34.5745646176059,3
"256",0.75,0.75,3,34.5745646176059,3
"257",0.8,0.75,3,27.3758757670832,3
"258",0.85,0.75,3,36.4396555499506,1
"259",0.9,0.75,3,36.4396555499506,1
"260",0.95,0.75,3,16.7556130415367,1
"261",0.5,0.8,3,38.4539835668474,3
"262",0.55,0.8,3,38.4539835668474,3
"263",0.6,0.8,3,38.4539835668474,3
"264",0.65,0.8,3,35.2090348657777,3
"265",0.7,0.8,3,34.5745646176059,3
"266",0.75,0.8,3,34.5745646176059,3
"267",0.8,0.8,3,27.3758757670832,3
"268",0.85,0.8,3,36.4396555499506,1
"269",0.9,0.8,3,36.4396555499506,1
"270",0.95,0.8,3,16.7556130415367,1
"271",0.5,0.85,3,34.7117277119663,1
"272",0.55,0.85,3,34.7117277119663,1
"273",0.6,0.85,3,34.7117277119663,1
"274",0.65,0.85,3,31.5544863340268,1
"275",0.7,0.85,3,30.9371651048995,1
"276",0.75,0.85,3,30.9371651048995,1
"277",0.8,0.85,3,23.9330487383482,1
"278",0.85,0.85,3,36.4396555499506,1
"279",0.9,0.85,3,36.4396555499506,1
"280",0.95,0.85,3,16.7556130415367,1
"281",0.5,0.9,3,34.7117277119663,1
"282",0.55,0.9,3,34.7117277119663,1
"283",0.6,0.9,3,34.7117277119663,1
"284",0.65,0.9,3,31.5544863340268,1
"285",0.7,0.9,3,30.9371651048995,1
"286",0.75,0.9,3,30.9371651048995,1
"287",0.8,0.9,3,23.9330487383482,1
"288",0.85,0.9,3,36.4396555499506,1
"289",0.9,0.9,3,36.4396555499506,1
"290",0.95,0.9,3,16.7556130415367,1
"291",0.5,0.95,3,34.7117277119663,1
"292",0.55,0.95,3,34.7117277119663,1
"293",0.6,0.95,3,34.7117277119663,1
"294",0.65,0.95,3,31.5544863340268,1
"295",0.7,0.95,3,30.9371651048995,1
"296",0.75,0.95,3,30.9371651048995,1
"297",0.8,0.95,3,23.9330487383482,1
"298",0.85,0.95,3,36.4396555499506,1
"299",0.9,0.95,3,36.4396555499506,1
"300",0.95,0.95,3,16.7556130415367,1
