"","mean","MCSE","q10","q50","q90","ESS","Rhat"
"loglike[1,66]",2.36646546520256,0.0608200483062067,2.23595461391785,2.37063083098196,2.47567600022878,12118.555565378,1.00023931099417
"loglike[1,67]",2.50169793118325,0.065277416400971,2.36102715692237,2.50651331171101,2.61766098509463,12159.8513367605,1.00061536095268
"loglike[1,68]",2.48011073222507,0.0657776141238731,2.33850083695398,2.48509564429007,2.5961630755939,11666.7052305139,1.00048814147068
"loglike[1,69]",2.47965291752285,0.0623712306753686,2.34556391733938,2.48399026708504,2.59085077979706,12853.220835997,1.00066066028244
"loglike[1,70]",2.50257899712631,0.065984339599403,2.36078739677826,2.50777206124148,2.61974428744521,11940.6585525206,1.00058371082028
"loglike[1,71]",2.4982781791998,0.0662032255218439,2.35617129674702,2.50361419485675,2.61561294001619,11803.8771899629,1.0005522926136
"loglike[1,72]",2.50200880599193,0.0660649867358051,2.36007692758042,2.50722831704466,2.6194070752459,11905.7847204143,1.00057693506594
"loglike[1,73]",2.30093315798823,0.0585135286221936,2.17569460208956,2.30475864589917,2.40580709466652,12877.2346468095,1.00011849223383
"loglike[1,74]",2.49144934251088,0.0661265403374332,2.34958097390554,2.49667238123866,2.60833347007905,11724.1673148604,1.00052388635288
"loglike[1,75]",2.49283861466489,0.0661555332419486,2.35075367466589,2.49805885222488,2.60987836351667,11735.9821057195,1.00052898244581
"loglike[1,76]",2.38649522018174,0.0616528403495334,2.25385238789204,2.39082904416098,2.49699964312772,11958.0354399904,1.00027873683291
"loglike[1,77]",2.50298313097967,0.0657336776451428,2.36159431387619,2.50785638688224,2.61938079770483,12028.5535672125,1.00059830544213
"loglike[1,78]",2.47433642393805,0.0618196384340854,2.34151117982816,2.47874639504349,2.58436003283545,12981.5292894257,1.00066440360442
"loglike[1,79]",2.49738554439509,0.0645181575683314,2.35911589574987,2.50193612992856,2.61197482989694,12352.7186496984,1.00063364674512
"loglike[1,80]",2.49911323526591,0.0661944059933596,2.3570317095027,2.50442097259431,2.61642925042469,11819.5382417608,1.00055668983119
"loglike[1,81]",2.3475131545914,0.0528023768203099,2.23486356003288,2.35038428577031,2.44210802732207,16681.9717169238,1.00058082922953
"loglike[1,82]",1.35087148391828,0.113513471263134,1.12074057250678,1.35456208374992,1.56627276625625,21479.0630988398,1.00042212854701
"loglike[1,83]",2.49024828391602,0.0635696006110389,2.35313334391071,2.49476283791058,2.60290671075093,12582.4435824009,1.00064858991348
"loglike[1,84]",2.41389700090203,0.062860543240222,2.27838780569778,2.41847313212571,2.52605999953005,11789.3797785181,1.00033451061147
